Company,Symbol,Price,Market Cap,EV / Annualized Revenue,EV / Forward Revenue,Efficiency,Revenue Growth Rate,Gross Margin,LTM FCF Margin,SGA Margin,R&D Revenue,Sales Marketing Revenue,Score,Rank
Smartsheet,SMAR,44.48,6010.705343,5.8571060795467,4.8855421408295,0.3647536597756,0.26189800258181,0.80033533544156,0.10285565719379,0.721171,0.25761340120016,0.55870115346703,42.25,20
Paylocity,PCTY,159.88,8981.561333,6.8843851216678,5.8750007073751,0.49521417324403,0.25389292482628,0.68050543789714,0.24132124841775,0.40141,0.14725490795804,0.26745782411312,42.15,21
Zoominfo,ZI,15.05,5866.22497,5.2609344885277,5.1275428820454,0.41152577184337,0.091098748261474,0.88750796685787,0.3204270235819,0.466399,0.15979423532294,0.33616395852045,41.75,22
Square,SQ,65.04,39940.808393,1.7379125524945,1.56370430724,0.2794466913787,0.24403543229925,0.34113598361404,0.035411259079451,0.193984,0.12695905731618,0.098719536308564,40.88,23
Toast,TOST,15.32,8275.985013,1.7630777647771,1.4060322728075,0.37645864258618,0.37234042553191,0.21996124031008,0.0041182170542636,0.208507,0.095357242146233,0.10731164859605,40.28,24
Cloudflare,NET,78.78,26452.104531,19.589306808193,15.428049998063,0.4139124646576,0.32201593810689,0.76737693048036,0.091896526550716,0.633113,0.28242589571967,0.46812746697194,39.07,25
Gitlab,GTLB,52.47,8117.109,12.773194417578,10.214650606054,0.3811821524599,0.38142932077078,0.89504302161469,-0.0002471683108732,0.937467,0.36257805859296,0.67198370847243,39.05,26
Veeva Systems,VEEV,178.84,28731.633197,10.555889362955,9.1713150197951,0.50932988328035,0.10483922293895,0.71363801939938,0.4044906603414,0.271245,0.2584713455689,0.16505785538617,39.05,27
Qualys,QLYS,188.01,6916.035087,11.420985603468,10.310842551351,0.56114587121152,0.13089255421668,0.81169187864447,0.43025331699484,0.313553,0.20492586969266,0.19982357412199,38.88,28
MongoDB,MDB,435.23,31051.316786,17.924316930987,15.715391305199,0.42227725830452,0.39561022195877,0.75144115849558,0.026667036345746,0.615538,0.30902405104492,0.50168123286824,38.17,29
PayPal,PYPL,59.65,64311.064362,2.1569177797924,1.9746496961386,0.19085899101183,0.08355243938066,0.39026691830682,0.10730655163117,0.133445,0.10385196374622,0.064096402087339,36.85,30
Freshworks,FRSH,21.21,6263.087262,8.3509887040052,7.0814825038616,0.28964368190376,0.19252873563218,0.82896125040703,0.097114946271573,0.911048,0.23982819746054,0.63266320275474,36.8,31
Box,BOX,26.57,3827.287819,3.7499625317487,3.5383709841043,0.36398409692063,0.062650651383046,0.74366555992472,0.30133344553759,0.459631,0.240906376348,0.33312576672979,36.6,32
JFrog,FROG,28.29,2967.253966,7.0206856299923,5.7579925955837,0.36270512441218,0.23120945673765,0.77724626562571,0.13149566767453,0.620973,0.38142976923918,0.44309661818138,36.35,33
PagerDuty,PD,21.73,1981.312521,4.2951331884658,3.8128407478205,0.30429652923695,0.15410337250406,0.81894775570272,0.15019315673289,0.700604,0.33537194327401,0.46535472764108,36.22,34
Tenable,TENB,40.77,4767.437137,5.5725616871517,4.8716838292712,0.32344681128352,0.15257562152919,0.77296567739631,0.17087118975433,0.632359,0.19478465264566,0.49486192186069,35.85,35
Shopify,SHOP,73.86,94913.92484,13.290245746791,11.204578006603,0.33476629505357,0.25475841874085,0.52567094515753,0.080007876312719,0.23454,0.27610954005374,0.17864581203284,35.25,36
Clearwater Analytics,CWAN,19.76,4013.631144,10.040042001183,8.4284970532246,0.428652931668,0.23659734559515,0.71464337023578,0.19205558607285,0.418547,0.32586204936391,0.16608021919303,34.62,37
Ringcentral,RNG,30.75,2882.72228,1.9216799542787,1.7610293885862,0.23034760925279,0.096520454509736,0.69727893593997,0.13382715474305,0.637758,0.16200405729271,0.51549957850102,33.23,38
Wix,WIX,105.7,6041.927002,3.815535966291,3.4020345869952,0.22982742364363,0.13891065774063,0.67239063479932,0.090916765902991,0.36383,0.31498003217589,0.26034116491532,32.95,39
Definitive Health,DH,8.52,991.115318,3.6411761117489,3.3783514851562,0.23412545685361,0.13842319891255,0.86738614619212,0.095702257941064,0.621203,0.16661519330955,0.38382327841939,32.8,40
Sprinklr,CXM,16.34,4419.54418,5.3553752556524,4.6448626202608,0.25296778000315,0.1847905463719,0.75643963802426,0.068177233631244,0.635914,0.1251745970552,0.49251790453878,32.7,41
SentinelOne,S,19.83,5863.212089,8.6279239347214,6.5524226496602,0.25170295160238,0.45769474659773,0.70106611520469,-0.20599179499535,1.054895,0.4111950220608,0.70319876848653,32.43,42
Squarespace,SQSP,28.87,3925.454535,4.2818081457319,3.7345613461056,0.19694624220993,0.18082555490225,0.79867424463454,0.016120687307682,0.475625,0.24453180548829,0.33409416444257,32.4,43
Elastic,ESTC,110.2,10975.838672,8.5325902347623,7.3085721633573,0.22850882328701,0.17477619222318,0.74215741825815,0.053732631063835,0.572401,0.27154940321278,0.44382037015305,32.18,44
Confluent,CFLT,22.83,7028.788031,7.8310928996758,6.4344925856654,0.1373535759815,0.31930640866791,0.71903427398205,-0.18195283268642,0.873949,0.44945619673582,0.68832959693297,32.1,45
AppFolio,APPF,187.83,6717.196746,9.9278208806818,8.2003619059269,0.3659807271147,0.32268406367176,0.6207749032882,0.04329666344294,0.380244,0.25190990320829,0.19582903332268,31.98,46
Asana,ASAN,22.46,4987.754751,7.2870006324828,6.5346475224626,0.079229645461413,0.20429812596371,0.90008309993537,-0.12506848050229,0.919828,0.52333744410884,0.67852361607555,31.45,47
BlackLine,BL,60.0,3676.18872,6.5095511187196,5.7797878925097,0.29668425884237,0.12244168379659,0.75558696286859,0.17424257504578,0.602414,0.17563037356567,0.42971284675118,31.35,48
Sprout Social,SPT,59.78,3347.322217,9.7048040996352,7.57986763081,0.33941979059865,0.30969115102516,0.7638544638264,0.029728639573493,0.741291,0.23766058911465,0.50378891834211,31.32,49
Workiva,WK,99.62,5384.265446,8.522034844318,7.3112942271017,0.25749540122703,0.19063749068491,0.75751541014699,0.066857910542121,0.626954,0.27719046293658,0.45150521501542,30.92,50
Twilio,TWLO,66.76,12086.421467,2.2791186904428,2.1017292974469,0.080282081206385,0.051514195904499,0.49967591204156,0.028767885301886,0.381391,0.23917672073279,0.26342469803677,30.6,51
Amplitude,AMPL,11.25,1339.313603,3.6252693453856,3.3931113928566,0.20695052340545,0.14644399000227,0.75521327349689,0.060506533403174,0.761433,0.33365045402552,0.5593527776441,30.43,52
DigitalOcean,DOCN,30.85,2653.375645,5.5468700864669,5.0213107468402,0.33833674622521,0.16400092035631,0.60280014910032,0.1743358258689,0.34013,0.22060923722386,0.11556603773585,30.35,53
Five9,FIVN,79.59,5785.869467,6.3896954292606,5.4626757567425,0.26753811882497,0.16014258200482,0.51726385780405,0.10739553682015,0.448041,0.1709240245473,0.32768186266653,30.17,54
Braze,BRZE,56.3,5566.204556,11.175561772959,9.3791751729597,0.2823246341011,0.33641778221546,0.69181717879886,-0.054093148114363,0.77517,0.27212512264887,0.54494515362612,29.22,55
Yext,YEXT,6.85,852.710591,1.8619358832531,1.8156414331743,0.11700410208423,0.017141044324817,0.78174038480282,0.099863057759411,0.650199,0.17465218361729,0.46668650646033,29.08,56
Vimeo,VMEO,3.7,620.189801,0.80756731809925,0.80456118377872,0.051430883590332,-0.01738599687422,0.79481049946825,0.068816880464552,0.51414,0.23679757641995,0.36997464252674,27.7,57
Olo,OLO,5.65,927.61039,2.4584489306848,2.1550805328714,0.16866803294799,0.22273938983625,0.59807246426965,-0.054071356888258,0.491109,0.34935787153711,0.20798731552175,27.53,58
AvePoint,AVPT,8.32,1528.066026,4.5838511063771,4.0230672671174,0.21982691502702,0.15972521079392,0.72297965915338,0.060101704233095,0.650372,0.12691279825466,0.41747409023462,26.9,59
Weave,WEAV,9.86,685.013748,3.658280980158,3.1847116387503,0.21003531207599,0.20187689759868,0.68746555208525,0.0081584144773103,0.692295,0.2036919629942,0.4222121001348,26.3,60
8x8,EGHT,3.25,397.031528,1.0710402867043,1.0527275090114,0.082294945264678,-0.012754217163227,0.69133887210201,0.095049162427905,0.524229,0.2052110521488,0.4041415076551,25.58,61
AvidXchange,AVDX,11.01,2236.654889,4.9282222562829,4.183782804728,0.16878254515095,0.19741296671561,0.68821443048237,-0.028630421564653,0.499543,0.26002463957049,0.21704595252335,25.38,62
Everbridge,EVBG,21.32,875.59253,2.5353366946607,2.4541432819763,0.11846927163416,0.02504465848601,0.71150090637616,0.093424613148147,0.585587,0.20189577881544,0.35051248672688,24.95,63
Q2,QTWO,37.52,2199.985388,3.9607358147218,3.5509303134449,0.18479584806102,0.070576369075171,0.47837926784412,0.11421947898585,0.377341,0.22511197803786,0.18302826706598,24.58,64
Domo,DOMO,10.18,367.322985,1.3767147317226,1.3490646215625,-0.047733543720336,0.0082124870295852,0.76434264198306,-0.055946030749922,0.67246,0.26981210882175,0.52332545088544,24.52,65
nCino,NCNO,28.36,3208.454943,6.5040243373899,5.6444197806336,0.19751010698062,0.15808767664489,0.60647684964983,0.039422430335733,0.457213,0.25554562356206,0.28687252586948,24.22,66
Fastly,FSLY,18.05,2360.94,4.8224518057207,4.1977349441438,0.11515171254782,0.17798422177984,0.51704012017275,-0.062832509232021,0.616835,0.30996324343838,0.38507010821854,23.52,67
Bigcommerce,BIGC,9.34,710.60588,2.5487183035428,2.3365309370687,-0.063929810577939,0.07810363166692,0.75676853097572,-0.14203344224486,0.685923,0.29079603327107,0.45365094935433,23.15,68
Zuora,ZUO,9.01,1266.50867,2.6738356061503,2.4132029240919,-0.05589548699468,0.086839085008707,0.68512230425402,-0.14273457200339,0.542179,0.24609641230753,0.37876061532947,21.52,69
C3.ai,AI,30.89,3651.25249,9.8314463737873,8.3215762721837,-0.37503577158876,0.108011269676,0.56036317404162,-0.48304704126475,0.948811,0.75096494783622,0.67197251039807,17.1,70
